"name","Agility","AcceleratedHealing","LanternPowerRing","DimensionalAwareness","ColdResistance","Durability","Stealth","EnergyAbsorption","Flight","DangerSense","Underwaterbreathing","Marksmanship","WeaponsMaster","PowerAugmentation","AnimalAttributes","Longevity","Intelligence","SuperStrength","Cryokinesis","Telepathy","EnergyArmor","EnergyBlasts","Duplication","SizeChanging","DensityControl","Stamina","AstralTravel","AudioControl","Dexterity","Omnitrix","SuperSpeed","Possession","AnimalOrientedPowers","Weapon_basedPowers","Electrokinesis","DarkforceManipulation","DeathTouch","Teleportation","EnhancedSenses","Telekinesis","EnergyBeams","Magic","Hyperkinesis","Jump","Clairvoyance","DimensionalTravel","PowerSense","Shapeshifting","PeakHumanCondition","Immortality","Camouflage","ElementControl","Phasing","AstralProjection","ElectricalTransport","FireControl","Projection","Summoning","EnhancedMemory","Reflexes","Invulnerability","EnergyConstructs","ForceFields","Self_Sustenance","Anti_Gravity","Empathy","PowerNullifier","RadiationControl","PsionicPowers","Elasticity","SubstanceSecretion","ElementalTransmogrification","Technopath_Cyberpath","PhotographicReflexes","SeismicPower","Animation","Precognition","MindControl","FireResistance","PowerAbsorption","EnhancedHearing","NovaForce","Insanity","Hypnokinesis","AnimalControl","NaturalArmor","Intangibility","EnhancedSight","MolecularManipulation","HeatGeneration","Adaptation","Gliding","PowerSuit","MindBlast","ProbabilityManipulation","GravityControl","Regeneration","LightControl","Echolocation","Levitation","ToxinandDiseaseControl","Banish","EnergyManipulation","HeatResistance","NaturalWeapons","TimeTravel","EnhancedSmell","Illusions","Thirstokinesis","HairManipulation","Illumination","Omnipotent","Cloaking","ChangingArmor","PowerCosmic","Biokinesis","WaterControl","RadiationImmunity","Vision_Telescopic","ToxinandDiseaseResistance","SpatialAwareness","EnergyResistance","TelepathyResistance","MolecularCombustion","Omnilingualism","PortalCreation","Magnetism","MindControlResistance","PlantControl","Sonar","SonicScream","TimeManipulation","EnhancedTouch","MagicResistance","Invisibility","Sub_Mariner","RadiationAbsorption","Intuitiveaptitude","Vision_Microscopic","Melting","WindControl","SuperBreath","Wallcrawling","Vision_Night","Vision_Infrared","GrimReaping","MatterAbsorption","TheForce","Resurrection","Terrakinesis","Vision_Heat","Vitakinesis","RadarSense","QwardianPowerRing","WeatherControl","Vision_X_Ray","Vision_Thermal","WebCreation","RealityWarping","OdinForce","SymbioteCostume","SpeedForce","PhoenixForce","MolecularDissipation","Vision_Cryo","Omnipresent","Omniscient","Gender","Eyecolor","Race","Haircolor","Height","Publisher","Skincolor","Alignment","Weight"
"A-Bomb","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","yellow","Human","No Hair","203","Marvel Comics","-","good","441"
"Abe Sapien","True","True","False","False","True","True","False","False","False","False","True","True","True","False","False","True","True","True","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","Icthyo Sapien","No Hair","191","Dark Horse Comics","blue","good","65"
"Abin Sur","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","Ungaran","No Hair","185","DC Comics","red","good","90"
"Abomination","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","green","Human / Radiation","No Hair","203","Marvel Comics","-","bad","441"
"Abraxas","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","True","True","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False","False","True","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","Cosmic Entity","Black","-99","Marvel Comics","-","bad","-99"
"Absorbing Man","False","False","False","False","True","True","False","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","Human","No Hair","193","Marvel Comics","-","bad","122"
"Adam Monroe","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","-","Blond","-99","NBC - Heroes","-","good","-99"
"Adam Strange","False","False","False","False","False","True","True","False","True","False","False","True","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","Human","Blond","185","DC Comics","-","good","88"
"Agent Bob","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","brown","Human","Brown","178","Marvel Comics","-","good","81"
"Agent Zero","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","True","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","-","-","-","191","Marvel Comics","-","good","104"
